# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3200  fc=1829
# columns: time_s  S_score  PP_score  TRN_flat  label
1.3050  0.261  -0.039  0.406  T
1.3100  0.162  0.174  0.078  P
1.3150  0.092  0.203  0.174  P
1.3200  0.128  0.236  0.151  P
1.3250  0.048  -0.075  0.288  T
1.3300  0.057  -0.023  0.278  T
1.3350  0.080  0.005  0.206  T
1.3400  0.084  0.244  0.150  P
1.3450  0.081  0.250  0.169  P
1.3500  0.121  0.038  0.237  T
1.3550  0.370  -0.094  0.469  T
1.3600  1.005  -0.103  0.614  T
1.3650  0.103  -0.023  0.212  T
1.3700  0.641  0.030  0.236  T
1.3750  1.629  -0.061  0.235  T
1.3800  1.005  0.060  0.189  T
1.3850  0.748  0.098  0.174  T
1.3900  0.699  -0.185  0.239  T
1.3950  0.310  -0.176  0.121  T
1.4000  0.055  -0.182  0.282  T
1.4050  0.070  -0.180  0.288  T
1.4100  0.176  -0.139  0.148  T
1.4150  0.174  0.179  0.077  P
1.4200  0.109  0.203  0.175  P
1.4250  0.120  0.245  0.151  P
1.4300  0.187  0.134  0.068  T
1.4350  0.205  -0.167  0.039  T
1.4400  0.236  -0.167  0.135  T
1.4450  0.154  0.150  0.084  T
1.4500  0.093  0.206  0.178  P
1.4550  0.117  0.241  0.145  P
1.4600  0.151  0.181  0.077  P
1.4650  0.095  0.205  0.170  P
1.4700  0.121  -0.039  0.148  T
1.4750  0.110  -0.125  0.585  T
1.4800  0.070  -0.079  0.274  T
1.4850  0.075  -0.050  0.198  T
1.4900  0.071  -0.037  0.196  T
1.4950  0.076  -0.035  0.321  T
1.5000  0.218  -0.007  0.314  T
1.5050  0.161  0.177  0.077  P
1.5100  0.103  0.203  0.176  P
1.5150  0.125  0.235  0.146  P
1.5200  0.048  -0.075  0.288  T
1.5250  0.058  -0.023  0.279  T
1.5300  0.081  0.005  0.206  T
1.5350  0.071  -0.046  0.198  T
1.5400  0.074  -0.049  0.324  T
1.5450  0.260  -0.039  0.408  T
1.5500  0.164  0.173  0.077  P
1.5550  0.094  0.202  0.173  P
1.5600  0.132  0.236  0.150  P
1.5650  0.048  -0.075  0.289  T
1.5700  0.058  -0.023  0.278  T
1.5750  0.080  0.004  0.206  T
1.5800  0.085  0.244  0.151  P
1.5850  0.083  0.250  0.170  P
1.5900  0.124  0.038  0.237  T
1.5950  0.369  -0.094  0.470  T
1.6000  0.987  -0.103  0.617  T
1.6050  0.217  -0.022  0.162  T
1.6100  0.365  0.017  0.228  T
1.6150  0.441  -0.025  0.338  T
1.6200  1.042  -0.095  0.404  T
1.6250  0.876  0.042  0.238  T
1.6300  0.326  -0.006  0.259  T
1.6350  0.204  0.009  0.279  T
1.6400  0.365  -0.053  0.186  T
1.6450  0.383  -0.011  0.235  T
1.6500  0.648  -0.163  0.206  T
1.6550  0.429  0.000  0.117  T
1.6600  0.283  -0.215  0.196  T
1.6650  0.120  0.175  0.150  P
1.6700  0.189  0.134  0.070  T
1.6750  0.209  -0.168  0.038  T
1.6800  0.251  -0.170  0.127  T
1.6850  0.191  0.146  0.086  T
1.6900  0.112  0.207  0.169  P
1.6950  0.139  0.241  0.155  P
1.7000  0.185  0.181  0.083  P
1.7050  0.106  0.205  0.170  P
1.7100  0.139  -0.059  0.149  T
1.7150  0.110  -0.125  0.588  T
1.7200  0.070  -0.079  0.275  T
1.7250  0.075  -0.050  0.199  T
1.7300  0.071  -0.040  0.197  T
1.7350  0.075  -0.040  0.322  T
1.7400  0.234  -0.018  0.337  T
1.7450  0.162  0.176  0.077  P
1.7500  0.100  0.203  0.175  P
1.7550  0.135  0.235  0.150  P
1.7600  0.053  -0.075  0.288  T
1.7650  0.057  -0.023  0.279  T
1.7700  0.081  0.005  0.207  T
1.7750  0.071  -0.045  0.197  T
1.7800  0.073  -0.049  0.323  T
1.7850  0.257  -0.039  0.406  T
1.7900  0.159  0.173  0.077  P
1.7950  0.098  0.203  0.174  P
1.8000  0.132  0.235  0.148  P
1.8050  0.052  -0.075  0.288  T
1.8100  0.057  -0.022  0.278  T
1.8150  0.081  0.004  0.206  T
1.8200  0.085  0.244  0.151  P
1.8250  0.080  0.250  0.170  P
1.8300  0.122  0.038  0.236  T
