start_ms=12203.000000
slip_symbols=-3
start_sym=6609
symbols=256
mag_ratio=1.369053
sym_evm=0.831612
diff_evm=1.009335
origin_frac=0.273438
quad_balance=0.023438
diff_balance=0.781250
i_mean=+0.002025
q_mean=-0.000472
idx	I	Q	mag	phase_deg	diff_phase_deg
6747	-0.007260	+0.041726	0.042353	+99.870	+70.154
6748	-0.058882	-0.001304	0.058896	-178.731	+81.399
6749	+0.002007	-0.054040	0.054077	-87.873	+90.859
6750	+0.048771	-0.001489	0.048793	-1.749	+86.124
6751	+0.019767	+0.064748	0.067698	+73.023	+74.772
6752	-0.052546	+0.016490	0.055073	+162.577	+89.554
6753	+0.012161	-0.061383	0.062576	-78.794	+118.629
6754	+0.019615	-0.028147	0.034308	-55.128	+23.666
6755	+0.064827	+0.012662	0.066052	+11.052	+66.180
6756	-0.060650	+0.051135	0.079330	+139.865	+128.813
6757	-0.037689	-0.052534	0.064655	-125.656	+94.478
6758	-0.012851	-0.039677	0.041706	-107.946	+17.710
6759	+0.063751	-0.006636	0.064096	-5.943	+102.003
6760	-0.014482	+0.069966	0.071449	+101.694	+107.637
6761	-0.048355	+0.007661	0.048958	+170.997	+69.303
6762	-0.028581	-0.029740	0.041247	-133.861	+55.142
6763	+0.054949	-0.037603	0.066584	-34.385	+99.476
6764	+0.031554	+0.035564	0.047544	+48.419	+82.803
6765	-0.012652	+0.035677	0.037853	+109.526	+61.107
6766	-0.072158	-0.027453	0.077204	-159.171	+91.304
6767	+0.031762	-0.056219	0.064571	-60.535	+98.636
6768	+0.020045	+0.053153	0.056807	+69.338	+129.873
6769	+0.008205	+0.034103	0.035077	+76.472	+7.134
6770	-0.045141	+0.041909	0.061596	+137.126	+60.654
6771	-0.003853	-0.077316	0.077412	-92.853	+130.021
6772	+0.075269	-0.002681	0.075317	-2.040	+90.813
6773	+0.042439	+0.008222	0.043228	+10.964	+13.004
6774	-0.019433	+0.069286	0.071960	+105.668	+94.704
6775	-0.054373	-0.045112	0.070651	-140.318	+114.014
6776	+0.015615	-0.036526	0.039724	-66.853	+73.465
6777	+0.025643	+0.007241	0.026646	+15.769	+82.622
6778	-0.016281	+0.049855	0.052446	+108.086	+92.317
6779	-0.062592	-0.014212	0.064185	-167.208	+84.707
6780	-0.004916	-0.070351	0.070522	-93.998	+73.210
6781	+0.073489	-0.047579	0.087547	-32.920	+61.077
6782	+0.038638	+0.029337	0.048514	+37.209	+70.129
6783	-0.028356	-0.030040	0.041309	-133.349	-170.558
6784	+0.004737	-0.018553	0.019148	-75.677	+57.672
6785	+0.047334	-0.056553	0.073748	-50.071	+25.606
6786	+0.084003	+0.115440	0.142769	+53.958	+104.028
6787	-0.019074	+0.088303	0.090340	+102.189	+48.231
6788	-0.062264	+0.165227	0.176569	+110.648	+8.460
