# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3200  fc=1829
# columns: time_s  S_score  PP_score  TRN_flat  label
1.7850  2.889  -0.029  0.343  T
1.7900  1.721  -0.036  0.407  T
1.7950  0.622  -0.005  0.399  T
1.8000  1.120  -0.022  0.407  T
1.8050  1.085  0.083  0.338  T
1.8100  1.418  -0.081  0.330  T
1.8150  1.506  -0.023  0.421  T
1.8200  0.327  -0.059  0.321  T
1.8250  0.880  0.102  0.332  T
1.8300  2.065  0.015  0.275  T
1.8350  0.878  0.051  0.320  T
1.8400  1.788  -0.125  0.364  T
1.8450  0.930  0.023  0.405  T
1.8500  0.710  0.068  0.404  T
1.8550  0.774  0.080  0.403  T
1.8600  2.015  -0.038  0.426  T
1.8650  1.990  -0.011  0.404  T
1.8700  0.554  0.031  0.321  T
1.8750  0.324  -0.015  0.361  T
1.8800  0.509  0.016  0.391  T
1.8850  0.789  -0.086  0.346  T
1.8900  1.417  0.052  0.297  T
1.8950  1.671  0.022  0.315  T
1.9000  1.150  0.007  0.342  T
1.9050  1.471  0.085  0.325  T
1.9100  1.028  0.094  0.327  T
1.9150  0.233  -0.043  0.301  T
1.9200  0.310  -0.058  0.309  T
1.9250  2.504  0.084  0.406  T
1.9300  3.678  0.051  0.379  T
1.9350  2.486  -0.110  0.281  T
1.9400  2.837  -0.054  0.274  T
1.9450  4.285  0.003  0.330  T
1.9500  1.467  -0.005  0.383  T
1.9550  0.358  0.136  0.278  T
1.9600  0.852  -0.042  0.264  T
1.9650  1.611  0.032  0.405  T
1.9700  2.059  0.094  0.450  T
1.9750  1.413  0.064  0.389  T
1.9800  2.263  -0.078  0.418  T
1.9850  1.957  -0.060  0.379  T
1.9900  1.738  0.004  0.358  T
1.9950  1.574  -0.002  0.364  T
2.0000  1.737  -0.064  0.378  T
2.0050  0.600  0.011  0.406  T
2.0100  0.764  -0.022  0.368  T
2.0150  3.451  -0.104  0.276  T
2.0200  2.201  -0.013  0.321  T
2.0250  2.408  -0.005  0.258  T
2.0300  5.999  -0.070  0.389  T
2.0350  3.851  0.055  0.433  T
2.0400  2.330  -0.092  0.405  T
2.0450  1.867  0.006  0.387  T
2.0500  1.994  -0.062  0.336  T
2.0550  1.991  -0.048  0.409  T
2.0600  0.707  0.024  0.409  T
2.0650  1.744  -0.071  0.306  T
2.0700  1.446  -0.029  0.344  T
2.0750  3.151  -0.015  0.293  T
2.0800  1.759  0.068  0.260  T
2.0850  0.887  0.037  0.318  T
2.0900  1.754  -0.023  0.316  T
2.0950  2.850  0.083  0.303  T
2.1000  2.540  -0.044  0.299  T
2.1050  0.681  -0.063  0.372  T
2.1100  0.839  0.155  0.422  P
2.1150  2.893  -0.025  0.342  T
2.1200  2.482  -0.036  0.315  T
2.1250  0.380  -0.021  0.285  T
2.1300  2.081  0.028  0.342  T
2.1350  3.268  0.120  0.370  T
2.1400  1.044  0.074  0.334  T
2.1450  1.567  0.000  0.418  T
2.1500  1.161  0.031  0.339  T
2.1550  2.503  -0.042  0.377  T
2.1600  1.553  -0.073  0.327  T
2.1650  3.097  -0.033  0.310  T
2.1700  2.286  -0.055  0.350  T
2.1750  1.826  0.011  0.324  T
2.1800  2.517  0.104  0.295  T
