start_ms=11481.000000
slip_symbols=3
start_sym=4443
symbols=256
mag_ratio=1.787157
sym_evm=0.680092
diff_evm=0.746700
origin_frac=0.046875
quad_balance=0.109375
diff_balance=0.406250
i_mean=-0.023692
q_mean=-0.022345
idx	I	Q	mag	phase_deg	diff_phase_deg
4685	-1.164310	-0.173665	1.177191	-171.516	-179.060
4686	+0.665302	+0.489066	0.825719	+36.320	-152.164
4687	-0.670519	-0.251941	0.716289	-159.407	+164.273
4688	-1.623029	+0.112066	1.626893	+176.050	-24.543
4689	-0.883749	-0.751790	1.160259	-139.613	+44.337
4690	-1.495240	-1.270634	1.962207	-139.643	-0.030
4691	+2.108026	-0.739370	2.233930	-19.328	+120.315
4692	+0.353917	+2.412765	2.438584	+81.655	+100.983
4693	-0.160217	-0.640933	0.660655	-104.035	+174.310
4694	+0.268648	+0.416642	0.495744	+57.186	+161.221
4695	+0.716017	+1.745898	1.887019	+67.701	+10.514
4696	-1.923083	+0.517863	1.991589	+164.928	+97.228
4697	+0.163420	-2.531201	2.536471	-86.306	+108.766
4698	+0.215942	-0.477718	0.524257	-65.676	+20.630
