# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3000  fc=1800
# columns: time_s  S_score  PP_score  TRN_flat  label
1.3200  0.002  0.025  0.256  T
1.3250  0.003  0.028  0.253  T
1.3300  0.002  -0.008  0.258  T
1.3350  0.005  0.016  0.255  T
1.3400  0.002  0.025  0.256  T
1.3450  0.003  0.028  0.253  T
1.3500  0.002  -0.008  0.258  T
1.3550  0.005  0.016  0.255  T
1.3600  0.002  0.025  0.256  T
1.3650  0.003  0.028  0.253  T
1.3700  0.002  -0.008  0.258  T
1.3750  0.005  0.016  0.255  T
1.3800  0.002  0.025  0.257  T
1.3850  0.003  0.028  0.253  T
1.3900  0.002  -0.008  0.258  T
1.3950  0.005  0.016  0.255  T
1.4000  0.002  0.025  0.257  T
1.4050  0.003  0.028  0.253  T
1.4100  0.002  -0.008  0.258  T
1.4150  0.005  0.016  0.255  T
1.4200  0.002  0.025  0.257  T
1.4250  0.003  0.028  0.253  T
1.4300  0.002  -0.008  0.258  T
1.4350  0.005  0.016  0.255  T
1.4400  0.002  0.025  0.256  T
1.4450  0.003  0.028  0.253  T
1.4500  0.002  -0.008  0.258  T
1.4550  0.005  0.016  0.255  T
1.4600  0.002  0.025  0.256  T
1.4650  0.003  0.028  0.253  T
1.4700  0.002  -0.008  0.258  T
1.4750  0.005  0.016  0.255  T
1.4800  0.002  0.025  0.256  T
1.4850  0.003  0.028  0.253  T
1.4900  0.002  -0.008  0.258  T
1.4950  0.005  0.016  0.255  T
1.5000  0.002  0.025  0.256  T
1.5050  0.003  0.028  0.253  T
1.5100  0.002  -0.008  0.258  T
1.5150  0.005  0.016  0.255  T
1.5200  0.002  0.025  0.257  T
1.5250  0.003  0.028  0.253  T
1.5300  0.002  -0.008  0.258  T
1.5350  0.005  0.016  0.255  T
1.5400  0.002  0.025  0.256  T
1.5450  0.003  0.028  0.253  T
1.5500  0.002  -0.008  0.258  T
1.5550  0.005  0.016  0.255  T
1.5600  0.002  0.025  0.257  T
1.5650  0.003  0.028  0.253  T
1.5700  0.002  -0.008  0.258  T
1.5750  0.005  0.016  0.255  T
1.5800  0.002  0.025  0.257  T
1.5850  0.003  0.028  0.253  T
1.5900  0.002  -0.008  0.258  T
1.5950  0.005  0.016  0.255  T
1.6000  0.002  0.025  0.257  T
1.6050  0.003  0.028  0.253  T
1.6100  0.002  -0.008  0.258  T
1.6150  0.005  0.016  0.255  T
1.6200  0.002  0.025  0.256  T
1.6250  0.003  0.028  0.253  T
1.6300  0.002  -0.008  0.258  T
1.6350  0.005  0.016  0.255  T
1.6400  0.002  0.025  0.256  T
1.6450  0.003  0.028  0.253  T
1.6500  0.002  -0.008  0.258  T
1.6550  0.005  0.016  0.255  T
1.6600  0.002  0.025  0.256  T
1.6650  0.003  0.028  0.253  T
1.6700  0.002  -0.008  0.258  T
1.6750  0.005  0.016  0.255  T
1.6800  0.002  0.025  0.257  T
